sample_id,clean_path,mix_path,duration_sec,sample_rate,snr_db,local_snr_median_db,local_snr_p10_db,local_snr_p90_db,noise_nonstationarity,corr_decay_time,corr_decay_freq,energy_sep_score,zcr_sep_score,flatness_sep_score
scene01_white_snr15,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene01_white_snr15.wav,5.61775,16000,14.999709464879897,-14.156683733493761,-40.0,10.38543313731933,0.9065172770683215,4,3,0.9848279805871242,2.0972228206900705,1.693678954098464
scene02_white_snr5,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene02_white_snr5.wav,5.61775,16000,4.999759461847414,-24.14819038238496,-40.0,0.33210450956257714,0.9200883926899831,3,2,0.24055750635199297,2.063385299163131,1.6950962370600295
scene03_pink_snr10,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene03_pink_snr10.wav,5.61775,16000,9.999845098094822,-13.038074378067499,-40.0,10.289567831661625,0.8457541857919482,4,3,0.7329413098331495,0.09590808581078404,0.0007737501345140506
scene04_brown_snr8,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene04_brown_snr8.wav,5.61775,16000,7.9998916069354555,16.823394556977913,-40.0,40.20740229553869,0.8052034059931821,5,3,0.7276643760572455,1.2685020513165874,0.726420358120038
scene05_hum50_snr12,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene05_hum50_snr12.wav,5.61775,16000,11.999746909540423,38.15380287538402,-35.3625611564485,50.0,0.8597203627807746,4,3,0.8445749089336116,1.2640911866466213,0.73448075831392
scene06_hum60_snr12,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene06_hum60_snr12.wav,5.61775,16000,11.999699802368948,37.90085504471574,-39.17783431243793,50.0,0.8576636590243826,4,3,0.8408382946171405,1.2640608118986958,0.7344778411865678
scene07_highfreq_hiss_snr10,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene07_highfreq_hiss_snr10.wav,5.61775,16000,9.999728725109078,-15.052064953984571,-40.0,41.57740777583098,0.9298817935921209,4,3,0.7164889072479247,3.227377507837509,0.6212651311043587
scene08_lowfreq_rumble_snr10,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene08_lowfreq_rumble_snr10.wav,5.61775,16000,9.999740243790729,35.13002151948294,-40.0,50.0,0.8521542407073388,4,3,0.7291180573543758,1.214532531703351,0.7344992198124404
scene09_chirp_interference_snr8,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene09_chirp_interference_snr8.wav,5.61775,16000,7.999756835413287,38.31035915379678,-39.91993563204741,50.0,0.9108393021644273,4,3,0.557689012996031,1.0406765938075428,0.7343541624294363
scene10_impulsive_clicks_snr9,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene10_impulsive_clicks_snr9.wav,5.61775,16000,8.99972391260485,-10.639671240352936,-40.0,22.249580607888937,0.8432441165364516,4,3,0.7867674279159177,1.298047852418097,0.005269588384759023
scene11_intermittent_bursts_snr7,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene11_intermittent_bursts_snr7.wav,5.61775,16000,6.999720135721316,50.0,-19.97895508752717,50.0,0.8984061653686718,4,3,0.8536580056326051,0.6141549212654993,1.578288870417678
scene12_babble_like_snr5,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene12_babble_like_snr5.wav,5.61775,16000,4.999753823463855,35.84364216266631,-40.0,50.0,0.698998950126333,5,3,0.26188177341215785,0.9249049767984241,0.7344995178489857
scene13_street_combo_snr6,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene13_street_combo_snr6.wav,5.61775,16000,5.999757262876214,-19.36607674296397,-40.0,6.875953973005811,0.9087517440644934,4,3,0.36326480085620805,1.787651747799715,0.011416311802503734
scene14_office_fan_snr9,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene14_office_fan_snr9.wav,5.61775,16000,8.999743084544457,-0.6157280326829858,-40.0,31.70653656820102,0.8135179322758255,4,3,0.6438402095754483,0.7561213473687142,0.7158329552483699
scene15_reverb_plus_hiss_snr10,outputs\noisy_testset\clean_reference.wav,outputs\noisy_testset\scene15_reverb_plus_hiss_snr10.wav,5.61775,16000,9.99975840821621,-16.24105513362959,-40.0,25.724028444659787,0.9323047620164395,4,3,0.716896546381104,2.8708730693386135,0.24543499421609027
